id,word,wordtype,wordmeaning
50,addressee ,noun," the person to whom a letter, package or communication is addressed."
51,addressing machine ,noun,machine which puts addresses on envelopes automatically.
52,address label,noun, a label with the address on it.
53,address list,noun,a list of names and addresses of people and companies.
54,adhere,verb,To stick to something.
55,adhesion,noun , ability to stick.   
56,adhesive ,noun, a substance used to make things to stick together. 
57,adhesive binding ,noun ,"a type of binding where the folds of the signatures are trimmed, and not sewn, the cover being glued to the cut pages. Also called perfect binding 2.same as thermoplastic binding."
58,adhesive lettering ,noun," Letters with an adhesive backing, used to make display paste-ups."
59,adjust ,verb,to change something to fit new conditions.
60,adjust ,noun    ,a feature which automatically changes the right-hand margin when new text is inserted. 
61,adjustment,noun , A slight change. 
62,adman,noun, A man who works in advertising (informal). 
63,admin,noun ,"(informal ) 1.administrative work in an office, especially paperwork.   "
64,administer,verb," to be responsible for managing a company, institution or country."
65,administered price,noun, a price fixed by a manufacturer which cannot be varied by a retailer.
66,administration ,noun ," a group of people who are responsible for the management of a company,institution or country 2. the range of activities connected with management."
67,administrative ,adjective ,  Referring to administration.
68,Adobe,, a trade name for a leading producer of graphics and desktop publishing software.
69,Adobe Acrobat ,noun, the most common portable document application used on the web. 
70,Adobe Acrobat readers ,noun,plug-in which enables users to save PDF files and view them off line or directly in the browser window. 
71,Adobe illustrator ,,a trade name for a vector image and editing software or a drawing program.
72,Adobe Indesign,,a trade name for a design and page layout software.
73,Adobe Pagemaker,," a trade name for a design and page layout software, an older form of Adobe Indesign."
74,Adobe Photoshop ,,"a trade name for a raster image creation, editing and format translation software."
75,Adobe Premiere ,noun," nonlinear video editing program used to capture, edit and Incorporate video into multimedia applications. "
76,Adobe Type Manager,," a trade name for a group of software technology programs used for describing scalable fonts. It is most commonly used to provide fonts that can be scaled to almost any point size, and  printed on almost any printer. 
77,adopt,verb," to accept ideas, plans or attitudes and be willing to carry them out."
78,adoption ,noun    , agreement that a textbook will be used in state schools. 
79,ADS,abbreviation ,advertisement delivery system.
80,adshel,, a trade name for a poster site for advertisements in a bus shelter.
81,adult ,noun , a person who is older than a child or over 18 years of age. 
82,adult Education ,noun, courses designed especially for adults outside the formal system of schooling.
83,adult literacy program,noun, a programme to teach adults to read and write.
84,Ad Valorem Duty,noun,duty calculated on the sales value of goods.
85,advance,noun," 1. money paid as a loan or as a part of a payment to be made later. 
2. money paid by a publisher to an author before a book is published which will be covered by future royalties.   3.  in advance early or beforemething happens    

86,advance,verb,1. to lend something.   2. to make something happen earlier. 
87,advance blurb,noun,a quote or review which is prepared before a book or film is released and is used to publicise it.
88,advance copies,noun,"copies of a book or of printed sheets, sent by the printer direct to the publisher's office, before the bulk stock is sent to the warehouse. Also called advances."
89,advance information sheet ,noun,a document that is put together by a publishing company to provide sales and marketing information about a book before publication. Full form advance information sheet
90,advances,noun,same as advance copies.
91,advace selling,noun,the selling of a book by a bookseller before the official publication date set by the publisher.
92,advance sheets,noun,same as advance copies.
93,adverse,adjective,bad or not helpful.
94,advertise,verb,"to announce that something is for sale, that a job is vacant or that a service is offered. "
95,advertisement,noun,"a notice giving information that something is for sale, that a job or service is being offered or that somebody wants something. "
96,advertisement delivery system,noun,"a digital file format used in the transmission of mono and colour images. 

97,advertisement manager,noun,the manager in charge of the advertisement section of a newspaper.
98,advertisement page,noun,"a page facing the title page of a book, which may have a list of other works in the same series or by the same author."
99,advertisement panel,noun,a specially-designed large advertising space in a newspaper.
100,advertiser,noun,a person or company that advertises things. 
101,advertising,noun,the act of telling people about products or events in order to make them want to buy them or take part.
102,advertising agency,noun,"a company that plans, designs and manages advertising for other companies."
103,advertising budget,noun,money planned for spending on advertising.
104,advertising campaign,noun,same as publicity campaign.
105,advertising copy,noun,text written for an advertisement
106,advertising manager,noun,the manager in charge of advertising a company's products.
107,advertising medium,noun,a type of advertisement such as a TV commercial.
108,advertising rates,noun,the amount of money charged for advertising space in a newspaper or advertising time on TV.
109,advertising space,noun,space in a newspaper set aside for advertisements.
110,advertorial,noun,text in a magazine which is not written by the editorial staff but by an advertiser.
111,advice,noun,an opinion as to what action to take  
112,advice note,noun,a written notice to a customer giving details of goods ordered and shipped but not yet delivered.
113,advise,verb,1. to tell somebody about something.
114,advise against,verb,to suggest that something should not be done.
115,adviser,noun,a person who suggests what should be done.
116,advisory,adjective,as an adviser.
117,advisory board,noun,a group of advisors.
118,a format paperback,noun,a paperback with the format 178 x 111mm.
119,afterword,noun,"a short piece of text placed at the end of a book sometimes used for a note about the author, especially if the author has died since the first printing of the book."
120,against the grain,adjective,feeding paper into a printing press and printing on it across the grain of the paper.
121,agate,noun,"a former type size equal to five and a half points, still used in the USA."
122,agate line,noun,a measure of page space.
123,aged debtor report,noun,"a computer report listing debtors, showing the length of time their payments are overdue."
124,agency,noun,"1. the job of representing another company in an area, or an office that does this job.  2. an office or business that arranges things for other companies."
125,agent,noun,somebody who arranges work or business for other people for a fee.
126,agent's commission,noun,"money, usually a percentage of sales, paid to an agent."
127,aggregator,noun,a piece of software which receives information from different sources and displays it on a desktop.
128,AGM,abbreviation,Annual General Meeting.
129,agreed price,noun,a price that has been accepted by both the buyer and seller.
130,agreement,noun,a formal document stating what two or more people have decided together.
131,agree with,verb,1. to say that your opinions are the same as somebody else's.  2. to be the same as.  
132,AI1,noun,a document that is put together by a publishing company to provide sales and marketing information about a book before publication. Full form advance information sheet.
133,AI2,abbreviation,artificial intelligence.
134,air,noun,1. the white space on a printed page.  2. a method of travelling or sending goods using aircraft.  
135,airbrush,noun,a machine that uses compressed air to spray ink or paint. ? He uses an airbrush to create soft background effects.
136,airbrush,verb,to paint using an airbrush.
137,air cargo,noun,goods sent by air.
138,air-dried paper,noun,"good-quality paper made and dried slowly in air, instead of being passed over heated rollers."
139,air forwarding,noun,the act of arranging for goods to be shipped by air.
140,air freight,noun,a method of shipping goods in an aircraft.
141,airfreight,verb,to send goods by air
142,air freight charges,noun,money charged for sending goods by air.
143,air letter,noun,a special sheet of thin blue paper which when folded can be sent by airmail without an envelope.
144,airmail,noun,a system of transporting letters and packages by air
145,airport edition,noun,"a large-format paperback version of a new book, which may be available to buy in an airport shop several weeks before its official publication date."
146,airport fiction,noun,"a type of fiction which sells well at airports, generally because does not deal with serious subjects and is therefore easy to read on a plane journey or on holiday."
147,airtight,adjective,not allowing air to get in.  
148,ALA,abbreviation,American Library Association.
149,albion press,noun,"a make of solid old hand press, made of cast iron, still used for printing lithographs and other fine art printing work."
150,album,noun,a collection in book form of short literary or musical pieces or pictures.
151,album paper,noun,"thick paper with an antique finish, used for making the pages of photograph albums."
152,aliasing,noun,jagged edges on a curved line in an image that appear when it is enlarged.
153,align,verb,to place two objects side by side in a line.
154,aligning edge,noun,the edge of an optical character recognition system used to position a document.
155,alignment,noun,the ordering of lines of type relative to a margin or line. 
156,all caps,adjective,"of text, set entirely in uppercase letters."
157,all expenses paid,adjective,with all costs paid by the company. 
158,alley,noun,a white space between two columns of text.
159,all-in,adjective,including everything.
160,all in hand,adjective,relating to a typesetting job which is with the compositors.
161,all-in price,noun,"the price of something which covers all items in the purchase such as goods, delivery, tax and insurance."
162,all rights reserved,phrase,printed on books and documents to show that they are subject to copyright.
163,all up,adjective,relating to a typesetting job where the compositors have finished setting the copy.
164,alphabet,noun,a set of letters or symbols in a fixed order used for writing the words of a language.
165,alphabetical,adjective,in the same order as the letters of the alphabet.
166,alphabetical index,noun,an index where the items are listed in the order of the letters of the alphabet.
167,alphabetically,adverb,in alphabetical order.  
168,alphabetical order,noun,arrangement according to the usual order of letters in an alphabet.  
169,alphabetic character set,noun,"characters, both capitals and small letters, that make up the alphabet."
170,alphabetic shift,noun,the shift key which activates the letters on an alphanumeric pad.
171,alphabetise,verb,to sort into alphabetical order.
172,alphabet length,noun,"the space taken by the 26 lower case letters of the alphabet in a particular typeface, measured in points."
173,alphamosaic,adjective,a very basic character set used in lowresolution graphics display mediums such as teletext.
174,alphanumeric characters,noun,"letters and Arabic numerals, and other signs such as punctuation marks. Also called alphanumeric set."
175,alphanumeric data,noun,data shown by the letters of the alphabet and the Arabic numerals.
176,alphanumeric display,noun,a display device able to show characters as well as numbers.
177,alphanumeric keyboard,noun,a keyboard containing character keys as well as numerical keys.
178,alphanumeric set,noun,same as alphanumeric characters.
179,alphaphotographic,adjective,"representing pictures using predefined characters, for teletext services."
180,alpha pulp,noun,wood pulp with almost all the cellulose removed.
181,alphasort,verb,to sort data into alphabetical order.
182,alter,verb,to change.
183,alteration,noun,"a change which is made.   
   
184,alternate selection,noun,a book which is the second choice offered to book club members.
185,alt  tag,noun,"a piece of text attached to an image on a webpage, which is displayed when graphics are unavailable or have been turned off."
186,amazon,,"a trade name for a leading online seller of books, CDs DVDs and other products."
187,ambient media,noun,advertising media outdoors. 
188,amend,verb,to change something written or said.
189,amendment,noun,something that is added to a written or verbal statement in order to change it.
190,american,adjective,referring to the United States of America.  
192,Americanise,verb,"to change the spelling and style of a book written in English from British to American. 

193,American Library Association ,noun,"the oldest and largest library association in the world for the support of qualified librarians and information workers.    
   
194,American Publishers Association,noun,"an organisation that represents American publishers.    
   
195,American Sign Language,noun,"a system of communication used by people with impaired hearing that uses motions or gestures of the hands.    
   
196,"American Standard Code for Information
Interchange",noun,"a computer code which represents alphanumeric characters as binary code.    
   
197,ampersand,noun,a symbol (&) meaning 'and'.
198,analogue proof,noun,a proof which very closely approximates the actual appearance and finish of the printed page.
199,analyse,verb,to examine a situation in detail in order to understand it better.
200,analysis,noun,the process of examining something in detail.
201,analyst,noun,a person who analyses data.
202,ancestral file,noun,"a system of backing up computer files, from son to father to grandfather file, where the son is the current working file."
203,anecdotal,adjective,consisting of or based on second-hand accounts rather than first-hand knowledge or scientific investigation.
204,angle,noun,a corner where two sides join.
205,angle bars,noun,metal rods on a rotary press which turn the web of paper so that it is running in a different direction. Also called turner bars.
206,angle brackets,noun,signs ([ and ]) used in mathematical setting.
207,angle cutter,noun,a machine for cutting paper from a reel.
208,aniline dye,noun,synthetic dye made from a benzene base.
209,aniline foil,noun,"a foil used in blocking covers, which contains aniline dyes."
210,aniline ink,noun,a type of quick-drying ink.
211,anilo roller,noun,a roller used in flexography to apply aniline ink.
212,animal tub-sized,adjective,"referring to paper which has been treated by passing it through a bath of gelatine.   
   
213,Animated gif ,noun,a special kind of GIF file known as a GIF89a used to create animated twodimensional and three-dimensional images for web pages. 
214,Animation,noun,making an object appear to have movement  .
215,ann.,abbreviation,annals.
216,annal,noun,a periodical that records events and reports in a field of research.
217,annals,noun,"history in general, as it is recorded in books and other documents."
218,annexe,noun,"1. an appendix, epilogue or other additional material attached to a larger document  2. a supplement to a specialised book. 
219,annotate,verb,to add notes to something written in order to explain it more fully.
220,annotated bibliography,noun,a bibliography with notes.
221,annotated text,noun,text with notes written by an editor.
222,annotation,noun,a note written to explain items in a text.
223,announce,verb,to tell something to the public. 
224,announcement,noun,"the act of telling something to the public  
225,annual,adjective,1. happening once a year  2. coming out once a year
226,annual accounts,noun,accounts prepared at the end of a financial year.
227,Annual General Meeting,noun,"a meeting of all the shareholders, when the company's financial situation is discussed with the directors. 
228,annually,adverb,each year  
229,annual report,noun,"a report of a company's financial situation at the end of a year, sent to all the shareholders."
230,anodised plate,noun,"a plate used in offset printing, which is specially coated to prevent wear."
231,anon,abbreviation,anonymous.
232,anonym,noun,a publication whose author is unnamed or unknown.
233,anonymous,adjective,of unknown name or authorship.
234,answer,noun,"a reply or letter written following an order; publishers' answers are usually computerised, and take the form of recognised abbreviations, such as RP/ND or OP."
235,antedate,verb,to put an earlier date on a document
236,anthologise,verb,"1. to gather works from different writers, musicians or artists into a collection
2. to compile or publish an anthology."
237,anthology,noun,"a book that consists of essays, stories or poems by different writers."
238,anthology piece,noun,a poem or passage which appears frequently in anthologies.
239,anti-aliasing,noun,the process of reducing the effects of jagged edges in graphics by using shades of grey to blend in along edges. Also called dejagging.
240,anti-dumping,adjective,protecting a country against dumping
241,anti-halation backing ,noun,backing to a film which prevents caused by reflection from the emulsion causing a halo effect on the image.
242,antimony,noun,"a metal which forms part of the alloy used in metal type

243,Antiqua,noun,a German name for roman typeface.
244,antiquarian,adjective,"relating to or dealing with antiques or antiquities, especially rare and old books.

245,antiquarian bookseller,noun,a bookseller who specialises in expensive old books.
246,antique face,noun,one of a range of old-style typefaces.
247,antique finish,noun,"paper with a rough surface which looks as if it is handmade, or any bulky roughfinished paper."
248,antique laid paper,noun,"fine paper which imitates old handmade paper, with watermarks in the form of fine straight lines across the paper and thick lines along the grain. Also called
laid paper."
249,anti-setoff spray,noun,fine powder used on a press to prevent set-off between sheets.
250,anycast,noun,an act of sending data across a computer network from a single user to the nearest receiver.
251,ap,abbreviation,PUBL Associated Press.
252,a.p,abbreviation,PUBL author's proof.
253,Applets,noun,"small programs that can be shared with other applications and that are developed for a specific purpose, for example to track stock prices and periodically display them on a web page."
254,aperture,noun,a partiallyenclosed rounded white space in a letter such as 'c' or 'S'.
255,apex ,noun,"the top part of a character such as a capital 'A', where the strokes meet."
256,apostrophe,noun,a punctuation mark which indicates either contraction or possession.
257,app,abbreviation,PUBL appendix.
258,apparent density,noun,"the weight of a particular volume of paper, calculated by dividing the basic weight by the thickness."
259,appeal,noun,1. the attractiveness of something which makes it popular. 2. a request for something to be reconsidered.  
260,appear,verb,to be published. 
261,append,verb,"to add extra information to something, especially to a document."

263,Apple Mac,,Apple Macintosh computer a trade name for a range of personal computers developed by Apple Inc. that has a graphical user interface.
264,applet,noun,a small application program on the Internet designed to enhance the functionality of a webpage.
265,application form,noun,a standardised form to be filled in when applying for something.
266,approval,noun,agreement  
267,approval copy,noun,an inspection copy of a book sent to a teacher which may be kept without payment if a class set of the book is ordered for the students.
268,approve,verb,to agree to. 
269,assignor,noun,a person who assigns a right to somebody.
270,assist,verb,"to help somebody, e.g. by giving them information."
271,assistant,noun,somebody who is employed to help another in their work.
272,assistant editor,noun,a deputy who can replace an editor when he or she is away.
273,associate,noun, somebody you work with.
274,associate director ,noun," a director who attends board meetings, but has not been elected by the shareholders."
275,associationn,noun, a group of people or of companies with the same interest. 
276,association copy ,noun," a copy of a book which has a connection with the author, e.g. a copy given by the author to a friend or the author's own copy with his or her notes in it."
277,assortment,noun," a mixed lot of bargain books, with books on various subjects often all sold at the same price."
278,asterisk ,noun," a symbol in the form of a star (*) used to mark things to be noted  verb to mark something with an asterisk or a star-shaped symbol, especially to draw attention to it."
279,asterisked,adjective, with an asterisk attached. ? The asterisked titles are also available in hardback.
280,asterism,noun,a triangle formed of three asterisks which calls the reader's attention to a following passage.
281,as to press ,adjective,referring to proofs of a colour magazine which show the correct position of the colour work.
282,asymmetric typography,noun,a typographic style which achieves strength and liveliness by ranging left or right and avoiding centred lines.
283,asymmetry,noun, a lack of symmetry or lack of balance between two parts.
284,asynchronous,adjective, not needing to be synchronised.
285,asynchronous transfer mode ,noun," a method for transferring data very quickly using broadband.

286,atlas,noun, a book of maps .
287,ATM,abbreviation,1. Adobe Type Manager. 2. asynchronous transfer mode.
288,ATS,abbreviation,animal tub-sized.
289,attendant,noun, somebody employed to serve or help members of the public in a public institution or place.
290,attribute,noun," a single bit that defines whether the font has a particular characteristic, e.g. whether it is displayed in normal, bold or underlined."
291,auction,noun,"the selling of rights in a book where publishers offer bids, and the book is sold to the person who makes the highest offer. "
292,Audience,,multimedia title's users. 
293, Audio Clip,noun,a file that contains sound.
294,audiovisual,adjective,"1. relating to sound and vision, especially when combined, e.g. in a presentation using both film and sound recordings . 2. relating to hearing and seeing. ? an audiovisual experience.

295,audiovisual aid,noun,"a teaching or lecture aid that combines sound and vision, e.g. in the a teaching or lecture aid that combines sound and vision.
"
296,audiovisual materials ,noun," materials that can be listened to and looked at, such as CDs or slides with recorded speech."
297,audit,verb, to examine something officially to make sure it is correct. noun; an examination of the books and accounts of a company. 
298,auditing,noun, the act of examining the books and accounts of a company.
299,auditor ,noun,a person who audits books and accounts
300,audit trail ,noun,"1. a record of all interactions with a system, kept to assess the level of use. 2. a record showing what operations a computer or computer user has performed in a specific period of time."
301,Augustijn,noun,"a 12 point type unit used in the Netherlands, corresponding to the UK pica em."
302,authentic ,adjective, known to be real and not a copy.
303,authenticate,verb, to say that something is true.
304,authenticity ,noun,the quality of being authentic.
305,author,noun,"somebody who writes books or articles.  

verb 1. to be the author of something. "
306,author biography ,noun," a short description of the author, including their previously published works, usually included with an AI."
307,authoring,noun,"the act of creating a multimedia application by combining sound, video and images, usually using a script or authoring software."
308, Authoring program ,noun, used to create multimedia applications. 
309,authorisation,noun, permission or power to do something. 
310,authorise ,verb,to give official permission for something to be done.
312,authority,noun,an expert in the field.
313,an expert in the field,noun,"a tour made by an author to promote his or her book, e.g. appearing on local radio programmes and signing copies in bookshops."
314,author questionnaire ,noun,"a form sent to the author of a book, asking for details of his or her life, and also for ideas on the best markets for the book."
315,author's agent ,noun,a person who represents an author and takes a percentage of his or her royalty.
316,author's alterations ,noun, same as author's corrections.
317,author's contract ,noun, a contract between a publisher and an author.
319,author's corrections,noun," a change to proofs which is made by an author, and which is charged to the author if too many are made. Also called author's alterations.

320,author's discount ,noun," a discount allowed to an author who wants to buy copies of his or her own works, or sometimes to buy copies of other books published by his or her publisher."
321,authorship ,noun,the fact of being the author of something. 
322,author's proofs,noun, proofs checked by the printer's reader and sent to the author to read and correct.
323,author's standard pre-press interfacing code ,noun, full form of ASPIC.
324,auto- ,prefix, done automatically .
325,autobiography,noun, an account of a person's life written by that person.
326,autoflow,noun,text that automatically flows around a graphic image or from one page to the next.
327,autograph ,noun, the signature of somebody famous.  verb; to sign a copy of one's book. ? He gave an autographed copy of his novel to the library.
328,autographing session ,noun, a publicity party where the author signs copies of his or her book in a bookshop for people who have bought them.
329,auto-indent ,noun,an instruction for the automatic indenting of a text by a typesetter.
330,auto-indexing ,noun,the process of automatic indexing using a computer program.
331,automatic ,adjective,able to operate by itself without constant user input.
332,automatically,adverb,working without a person giving instructions. ? Address labels are printed automatically at the same time as the invoices. ? The typesetting machine justifies lines automatically.
333,automatic carriage return ,noun,a system where the cursor automatically returns to the beginning of a new line when it reaches the end of the previous one.
334,automatic data processing,noun, data processing done by a computer.
335,automatic dictionary ,noun, the dictionary of words in a spelling check program.
336,automatic font downloading ,noun, a process in which special font information is sent to a printer by the application.
337,automatic heading,noun, the making of headings automatically by the computer page make-up program.
338,automatic hyphenation and justification ,noun,the process where a typesetting machine hyphenates words at the ends of lines and justifies the lines automatically.
339,automatic page make-up ,noun, a process where the typesetting machine makes the text into pages automatically.
340,automatic paster ,noun, same as flying paster. 
341, same as flying paster ,noun,an automatic sewing machine.
342,autopaster,noun, same as flying paster. 
343,autoplate,noun, a machine which makes curved printing plates.
344,autopositive,noun,a positive photographic image made without a negative stage.
345,auto trace ,noun, a feature of some graphics programs that will transform a bit-mapped image into a vector image by automatically locating the edges of the shapes in the image and drawing lines around them.
346,auxiliary language ,noun, a language that is used by speakers of other languages in order to communicate.
347,AV ,abbreviation, MEDIA audiovisual.
348,availability ,noun,"the ability to be obtained, used or seen. ? The new books were given limited availability of one week per person, so that more people could read them."
349,available,adjective,ready to be used. ? available time or information  the title is no longer available the book is out of print. ? not yet available a report on an invoice that a book is not ready immediately (because it has not yet been published or is reprinting).
350,avid,adjective,"enthusiastic, extremely interested or absorbed, especially in a book or film."
351, AVI ,noun, Microsoft Corporation's movie file format. 
352,a/w ,abbreviation,artwork.
353,award,noun, 1. a prize given for doing something well 2. a sum of money given for a specific purpose. ? an award to help you to study.  verb; to give a prize or financial grant.
354,award-winning,adjective,having won a prize. ? an awardwinning TV play. ? an award-winning science fiction author.
355,axe,verb, to cut or stop something.
357,azerty keyboard,noun,"a keyboard where the keys are arranged with the first line beginning AZERTY, used mainly in Europe. ? qwerty keyboard."
358,azure azure ,noun, a light blue .
359,azure laid ,noun, blue writing paper with laid lines.
360,azure wove ,noun, blue writing paper without laid lines.
361,banner,noun," 1. a heading or title across the width of a page 2. an online interactive advertisement that appears on a webpage, usually at the top or bottom, and contains a link to the website of the business whose products or services are being advertised "
362,banner ad,noun,an advertisement which stretches across the top or bottom of a printed page or a webpage
363,banner exchange,noun,"an agreement between two or more businesses, in which each allows the others' advertising banners to be displayed on its website"
364,banner headline,noun,an extra large newspaper headline 
365,bar,noun,"1. a thick band of colour 2. a horizontal stroke on a character which is connected to another stroke at either end, such as the middle bar in 'A'
"
366,bar chart,noun, a graph in which the data is represented by horizontal or vertical bars. Also called bar graph
367,barcode,noun," a line of printed stripes of different thickness representing a numeric code which can be read electronically

368,barcode reader,noun, an electronic device used to read barcodes
369,bargain books,noun, books that are sold at a cheaper price as remainders or special offers
370,barganing position,noun,a statement of intentions by one group during negotiations bargebarge 
371,bar graph,noun,same as bar chart
372,barge,noun," a case with small compartments for type, used when making corrections"
373,bar graph,noun, same as bar chart
374,baronial envelope,noun,a square pocket envelope
375,baryta paper,noun, coated matt paper used for high-quality repro or proofs from which typematter or photographs can be made base
376,base ,noun," 1. the lowest or first position 2. a flat surface which supports something, such as the flat plate supporting film or the bottom plate used in letterpress printing 3. background colour  The title is reversed out of a dark blue base."
377,base alignment,noun, the act of making sure that the bottom lines of several columns are level
378,base artwork,noun,artwork to which further illustrations have to be added
379,base line,noun,1. the bottom reference line used when typesetting to make sure characters are correctly located   2. the last line on a typeset page. 
380,baseline,noun, the data used as a reference with which to compare future observations or results
381,base material,noun," in printing, the material that is to be coated"
382,base paper,noun,thick paper used to make coated paper 
383,basic,adjetive,1. normal 2. simple or from which everything starts
384,BASIC,noun,"a computer programming language. Full form Beginner's  All-Purpose  Symbolic Instruction Code basics 
"
385,basic discount,noun,"a normal discount without extra percentages  Our basic discount is 20%, but we offer 5% extra for rapid settlement."
386, basics, plural noun , simple and important facts  He has studied the basics of page make-up.
387,basic stock,noun, standard titles stock which are considered necessary to form the core of an authoritative book stock. Also called core stock basic weightbasic weight /be?s?k we?t/ noun the weight of printing paper per 500 sheets basisbasis /be?s?s/ noun the foundation or reason for something
388,basis weight,noun," 1. the weight of paper in grams per square metre 2. basic weight, the weight of 500 sheets of paper of a standard 25 x 38 inch size, measured in pounds

"
389,Baskerville,noun," a typeface characterised by serifs, suitable for books and periodicals"
390,bastard progrssive,noun,"progressive colour proofs showing different combinations of colours, but not necessarily in order of printing
"
391,bastard size,noun, an odd non-standard size of paper .
392,.BAT,suffix,".bat suffix an extension to a filename, showing that the file is a batch file"
393,batch,noun, a group of things which are made or dealt with all at one time  verb to put items together in groups  to batch invoices or cheques
394,batch file,noun,a combination of computer files which are treated as one unit
395,batch number,noun,a number used to identify a particular group
396,batch processing,noun,"
 a mode of computer operation in which programs are executed without the user being able to influence processing while it is in progress 'First things first, however. Repcol needs to upgrade its in-house collections system, and build a live link between collections and financials. Repcol runs the collections system on an Informix database, but uses a separate Oracle financials system running on Linux, batch processing transactions.' [The Australian]"
397,bath,noun,"a large open container for liquids, especially one for developing photographs"
398,batter,noun, a defective impression produced by a faulty printing plate
400,BBIP,abbreviation,a feature of many electronic mail programs that allows a user to send one message to several users at a time (a carbon copy) but does not display this list to the recipients. Full form blind carbon copy
401,.bck,suffix," an extension to a filename, showing that the file is a backup file"
402,beak,noun,a curved decorative stroke on a letter
403,bear,verb,"
1. to have something written on. 
2. to pay costs

404,beard,noun," 1. the bevel andshoulder, the space from the edge of the face of a metal character to the edge of the body of the type 2. a dirty mark on a typeset character"
405,bearer,noun,"a wooden or metal bar placed beside metal type to prevent the press from pressing down too hard
"
406,bear off,verb, to adjust the spaces between letters or words to make a line justify
407,beat,verb,to hit something hard
408,beater,noun,"or  beating engine, beating machine; a container with a heavy roll with steel knives attached, which turns against a bedplate, which also has knives fixed on it, and chops up the pulp as it passes through

409,bed,noun,"the flat surface on which the metal type in its chase is placed, or on which flat printing plates are placed  to put a paper to bed to finalise the last corrections on a newspaper before printing starts"
410,bedplate,noun,"the flat surface on which the metal type in its chase is placed, or on which flat printing plates are placed  to put a paper to bed to finalise the last corrections on a newspaper before printing starts"
411,Bekk instrument,noun,an air-leak tester for measuring the smoothness of paper
412,belly,noun,"the front of a piece of type with a nick or notch in it, so that the compositor can tell by feel which is the front of the piece"
413,belly band,noun,a paper band put round the middle of a book
414,below,preposition,lower down than or less than.
415,belt press,noun,a letterpress machine which has plastic printing plates attached to an endless belt. ?  Cameron press
416,Ben Day tints,noun,"transparent sheets with dots, shading or stippled design, used to give an impression of tone on the printed page, invented by Benjamin Day"
417,bending rollers,plural noun, rollers which turn a web of paper in a different direction
418,Berne Convention,noun,"the international agreement on copyright, signed in Berne in 1886. "
419,bestseller,noun,1. a popular book of which a very large number of copies are sold  2. an author who writes bestsellers
420,bibliography,noun," 1. a list of books and other written materials on one particular subject 2. a list of books or articles referred to in another book or article

"
421,bibliophile,noun," 1. a list of books and other written materials on one particular subject  2. a list of books or articles referred to in another book or article
"
422,binding,noun, 1. the cover of a book 2. the act of putting a cover on a book 
423,binding cloth,noun,cloth used to cover a case in case binding
